MeterpointID,MeterNumber,PostalCode,Id,Substation
707057500017225534,15673477,1692,91972,H725L
707057500017224063,15672903,1692,91973,H713L
707057500017225558,15671990,1692,91976,H725L
707057500017223455,15700270,1692,91977,H705L
707057500017223998,15700348,1680,91981,H713L
707057500017224001,15700349,1680,91983,H713L
707057500017225688,16632229,1692,91986,H725L
707057500017225251,16044847,1692,91987,H725L
707057500017223479,15700301,1692,91990,H710L
707057500017224179,15672909,1692,91991,H713L
707057500017224155,15700755,1680,91993,H713L
707057500017223523,16044764,1692,91996,H710L
707057500017225633,16632440,1692,91997,H725L
707057500017223387,16632144,1680,91998,H705L
707057500017225541,15701653,1692,92002,H725L
707057500017225718,16632280,1680,92003,H725L
707057500017224094,16632896,1692,92004,H713L
707057500017224803,15699664,1692,92008,H720L
707057500017225985,15905005,1692,92009,H730L
707057500017225619,15672002,1692,92012,H725L
707057500017225879,15699682,1692,92015,H730L
707057500017225466,15691731,1692,92016,H725L
707057500017225756,16632227,1692,92017,H725L
707057500017224087,15672905,1692,92018,H713L
707057500017223509,16632267,1680,92020,H710L
707057500017226005,15699620,1692,92022,H1012L
707057500017225893,15673209,1692,92024,H730L
707057500017225848,16632437,1692,92027,H730L
707057500017223493,16632270,1692,92029,H710L
707057500017225602,15672000,1692,92030,H725L
707057500017225886,15699624,1692,92031,H730L
707057500017225947,15672337,1692,92034,H730L
707057500017225909,15700423,1692,92037,H730L
707057500017225930,15671800,1692,92038,H730L
707057500017225862,15700229,1692,92041,H730L
707057500017224148,16632207,1680,92042,H713L
707057500017226043,15673168,1692,92047,H1012L
707057500017225800,15671994,1692,92048,H725L
707057500017225817,16632447,1692,92049,H725L
707057500017226081,15673172,1692,92050,H730L
707057500017225503,15671835,1692,92058,H725L
707057500017225824,16044744,1692,92059,H725L
707057500017225510,15673474,1692,92060,H725L
707057500017223530,15700206,1692,92061,H710L
707057500017225794,16632177,1692,92062,H725L
707057500017225572,15671989,1692,92065,H725L
707057500017225664,15674274,1692,92068,H725L
707057500017225961,15700424,1692,92070,H730L
707057500017226340,15673182,1692,92071,H735L
707057500017225749,15700383,1692,92072,H725L
707057500017225565,15671991,1692,92076,H725L
707057500017226074,15701499,1692,92078,H1012L
707057500017225671,15701258,1692,92081,H725L
707057500017225831,16632145,1692,92083,H725L
707057500017226142,15700095,1692,92084,H730L
707057500017225725,15699729,1692,92085,H725L
707057500017226449,16632250,1692,92090,H735L
707057500017224124,15700751,1692,92091,H713L
707057500017226098,15699625,1692,92092,H730L
707057500017226050,15673169,1692,92093,H1012L
707057500017226012,15673174,1692,92097,H1012L
707057500017225695,15674273,1692,92098,H725L
707057500017225916,15699678,1692,92099,H730L
707057500017225640,16632223,1692,92104,H725L
707057500017226128,16632954,1692,92106,H730L
707057500017226579,15700581,1692,92109,H740L
707057500017225787,16632178,1692,92111,H725L
707057500017226180,15701502,1692,92112,H1012L
707057500017225855,15699681,1692,92113,H730L
707057500017226265,15700232,1692,92116,H730L
707057500017226289,16632952,1692,92118,H730L
707057500017226067,15673171,1692,92119,H1012L
707057500017226784,15700694,1692,92124,H735L
707057500017226326,16632179,1692,92125,H735L
707057500017226241,18020244,1692,92126,H730L
707057500017226333,15699788,1692,92127,H735L
707057500017226203,15673170,1692,92131,H730L
707057500017226234,15671803,1692,92133,H730L
707057500017226517,15674315,1692,92134,H735L
707057500017225701,15674271,1692,92136,H725L
707057500017226111,16632552,1692,92138,H730L
707057500017226104,15673173,1692,92140,H730L
707057500017226661,15717996,1692,92141,H735L
707057500017226630,15673220,1692,92144,H735L
707057500017225923,15699679,1692,92145,H730L
707057500017226296,16632098,1692,92151,H1012L
707057500017226562,16044753,1692,92152,H735L
707057500017226531,16632248,1692,92153,H740L
707057500017226364,15701498,1692,92155,H735L
707057500017226401,15673178,1692,92162,H735L
707057500017226470,15674317,1692,92163,H735L
707057500017226739,15672440,1692,92164,H735L
707057500017226586,15718023,1692,92165,H740L
707057500017226456,16044852,1692,92169,H735L
707057500017226494,15699585,1692,92170,H735L
707057500017226418,15701501,1692,92172,H735L
707057500017226487,15674316,1692,92174,H735L
707057500017226616,15691812,1692,92175,H725L
707057500017226029,15699627,1692,92180,H1012L
707057500017226388,15673179,1692,92181,H735L
707057500017226395,15673175,1692,92182,H735L
707057500017226708,15700345,1692,92183,H735L
707057500017226951,15673180,1692,92188,H740L
707057500017226647,15700703,1692,92190,H735L
707057500017226227,15671802,1692,92191,H730L
707057500017226371,15673176,1692,92192,H735L
707057500017227002,15672978,1692,92196,H740L
707057500017226760,18020245,1692,92197,H735L
707057500017226654,15674012,1692,92199,H735L
707057500017226197,15672336,1692,92200,H730L
707057500017226210,15673167,1692,92203,H730L
707057500017226838,15700342,1692,92207,H735L
707057500017226173,16632167,1692,92208,H730L
707057500017226258,15671801,1692,92210,H730L
707057500017226166,16632951,1692,92212,H730L
707057500017226791,15700692,1692,92219,H735L
707057500017226524,15700321,1692,92220,H740L
707057500017226777,15904990,1692,92221,H735L
707057500017226548,15699583,1692,92223,H735L
707057500017226302,15699683,1692,92224,H730L
707057500017227132,15671971,1692,92228,H740L
707057500017226555,16044755,1692,92229,H735L
707057500017227057,15671857,1692,92231,H740L
707057500017226425,15673177,1692,92233,H735L
707057500017226852,16632119,1692,92236,H740L
707057500017226272,15672334,1692,92238,H730L
707057500017226609,15672442,1692,92239,H735L
707057500017226890,16044665,1692,92244,H740L
707057500017226593,15700707,1692,92246,H720L
707057500017226753,15717904,1692,92249,H735L
707057500017226159,16632180,1692,92252,H730L
707057500017226722,15700346,1692,92255,H735L
707057500017226678,15700340,1692,92256,H735L
707057500017226715,15700693,1692,92257,H735L
707057500017226968,15673181,1692,92264,H740L
707057500017226746,15701454,1692,92265,H735L
707057500017226357,15672436,1692,92268,H735L
707057500017226500,15699584,1692,92270,H735L
707057500017227088,15672979,1692,92271,H740L
707057500017226906,16044664,1692,92275,H740L
707057500017226463,15701497,1692,92279,H735L
707057500017227026,15671858,1692,92280,H740L
707057500017226623,15699580,1692,92281,H735L
707057500017226432,15701135,1692,92284,H735L
707057500017227149,15700328,1692,92285,H740L
707057500017227071,15671852,1692,92286,H740L
707057500017226135,16044702,1692,92293,H730L
707057500017226845,15700771,1692,92294,H735L
707057500017226821,15904989,1692,92296,H735L
707057500017226869,15699790,1692,92297,H740L
707057500017227187,15673221,1692,92298,H740L
707057500017226692,15673219,1692,92299,H735L
707057500017227019,15674069,1692,92304,H740L
707057500017227736,15671806,1692,92305,H750L
707057500017226913,15671968,1692,92307,H740L
707057500017226807,15700704,1692,92309,H735L
707057500017227248,15730375,1692,92313,H740L
707057500017228450,15672288,1692,92314,H760L
707057500017226999,15671853,1692,92315,H740L
707057500017227033,15672051,1692,92319,H740L
707057500017227811,15671810,1692,92320,H750L
707057500017227743,16632941,1692,92321,H750L
707057500017226920,15699661,1692,92324,H740L
707057500017227224,16632097,1692,92325,H740L
707057500017227156,15699745,1692,92329,H740L
707057500017227255,18020241,1692,92330,H740L
707057500017227835,15671809,1692,92332,H750L
707057500017227934,15671828,1692,92333,H750L
707057500017227194,15700698,1692,92336,H740L
707057500017227163,15700696,1692,92338,H740L
707057500017227774,15673160,1692,92340,H750L
707057500017228337,15672290,1692,92342,H760L
707057500017227095,15700338,1692,92344,H740L
707057500017227040,15672980,1692,92345,H740L
707057500017228559,15701462,1692,92348,H760L
707057500017228535,15701461,1692,92349,H760L
707057500017227101,15671856,1692,92351,H740L
707057500017227880,15700474,1692,92354,H750L
707057500017227866,15671832,1692,92355,H750L
707057500017227200,15700324,1692,92357,H740L
707057500017228566,16632277,1692,92360,H760L
707057500017228412,15700365,1692,92362,H758L
707057500017227798,15671993,1692,92363,H750L
707057500017228016,18020297,1692,92367,H755L
707057500017227286,15673222,1692,92368,H740L
707057500017227842,16632942,1692,92369,H750L
707057500017227910,16044956,1692,92373,H750L
707057500017228467,16632441,1692,92374,H760L
707057500017227262,15700695,1692,92375,H740L
707057500017227828,15673159,1692,92379,H750L
707057500017227064,15699714,1692,92380,H740L
707057500017228573,15672549,1692,92381,H760L
707057500017227231,15700701,1692,92385,H740L
707057500017227170,15700770,1692,92386,H740L
707057500017227972,15701483,1692,92387,H750L
707057500017228023,15700188,1692,92390,H755L
707057500017228481,16632442,1692,92392,H760L
707057500017228047,16632910,1692,92395,H755L
707057500017227217,15730379,1692,92397,H740L
707057500017227767,16044751,1692,92398,H750L
707057500017228511,16632314,1692,92401,H760L
707057500017227309,15674105,1692,92403,H745L
