Num,Prod,SubstationId,SubstationName,MetarName,MaxLoad
1,rik32119502,45163,C163,Veigin 3,315
1,rik32119502,45164,C164,Brannstasjon Eikli,315
1,rik32119502,45165,C165,Flattumsgate 14,315
1,rik32119502,45166,C166,Hønefossenteret,1600
1,rik32119502,45167,C167,Justisbygget,500
1,rik32119502,45168,C168,Stormarkedet,0
1,rik32119502,45169,C169,Sagatun 1,315
1,rik32119502,45170,C170,Sagatun 2,200
1,rik32119502,45171,C171,Regimentsg?rden,500
1,rik32119502,45172,C172,Hovsmarkveien,200
1,rik32119502,45173,C173,Tordenskjoldsgate,300
1,rik32119502,45174,C174,Storjordet 3,500
1,rik32119502,45175,C175,Sundgata 10,500
1,rik32119502,45176,C176,Postg?rden,500
1,rik32119502,45177,C177,Nansenveien,630
1,rik32119502,45178,C178,Monserud 2,315
1,rik32119502,45179,C179,Hofsfossveien 20,315
1,rik32119502,45180,C180,Osloveien 4,500
1,rik32119502,45181,C181,Bekkegata 22,500
1,rik32119502,45182,C182,Kinohaven,1000
1,rik32119502,45183,C183,Hand-Pro,500
1,rik32119502,45184,C184,Trygstad Boligfelt,630
1,rik32119502,45185,C185,Sykehuset Teknisk Sentral,1250
1,rik32119502,45186,C186,Stabellsgate 9,800
1,rik32119502,45187,C187,Hvelven Sykehjem,630
1,rik32119502,45188,C188,Rabbaveien 76,315
1,rik32119502,45189,C189,Sykehuset somatisk,800
1,rik32119502,45190,C190,Somatisk 2,1000
1,rik32119502,45191,C191,Veien Kulturminnepark,315
1,rik32119502,45192,C192,Myra boligfelt,500
1,rik32119502,45193,C193,Molvald,800
1,rik32119502,45194,C194,Hvervenenga 1,500
1,rik32119502,45195,C195,Hvervenenga 2.,500
1,rik32119502,45196,C196,Viken Skog,1000
1,rik32119502,45197,C197,Vardar,1600
1,rik32119502,45198,C198,Ugland,630
1,rik32119502,45199,C199,Tolpinrud Vest,500
1,rik32119502,45200,C200,Thermobygg,500
1,rik32119502,45201,C201,Plantasjen,200
1,rik32119502,45202,C202,?konomihuset,500
1,rik32119502,45203,C203,H?nefoss Stadion Flomlys,800
1,rik32119502,45204,C204,Veienmarka N?ringsomr?det,500
1,rik32119502,45205,C205,Vesternbakken 18,50
1,rik32119502,45206,C206,Follum Molvald Syd,500
1,rik32119502,45207,C207,Moldvald Nord,0
1,rik32119502,45208,C208,Follum port syd,630
1,rik32119502,45209,C209,Follum Truckverksted,800
1,rik32119502,45210,C210prov,Hfs vg skole,0
1,rik32119502,45211,C211,Spoler Follum,0
1,rik32119502,45212,C212,Rua koblingsanlegg,0
1,rik32119502,45213,C214,Monserud koblingsanlegg,0
1,rik32119502,45214,C215,Ringveien koblingsanlegg,0
1,rik32119502,45215,C216,Sagdammen koblingsanlegg,0
1,rik32119502,45216,C217,Osloveien 25,315
1,rik32119502,45217,C218,Flerbrukshallen,1250
1,rik32119502,45218,C219,Telenor Satelittstasjon,200
1,rik32119502,45219,C300,Varegrind Sagdammen,0
1,rik32119502,45220,D003,S?rum,100
1,rik32119502,45221,D004,Ringerike Trafostasjon,630
1,rik32119502,45222,D005,S?rum koblingsanlegg,50
1,rik32119502,45223,D006,Flaten,50
1,rik32119502,45224,D007,R?yseng,100
1,rik32119502,45225,D009,Heieren,100
1,rik32119502,45226,D010,S?rgefoss 2,100
1,rik32119502,45227,D011,Nordengen,50
1,rik32119502,45228,D012,Hole-?deg?rd,100
1,rik32119502,45229,D013,Lerberg 1,50
1,rik32119502,45230,D014,Lerberg nedre,100
1,rik32119502,45231,D015,S?rgefoss,200
1,rik32119502,45232,D016,Bjerkemoen,100
1,rik32119502,45233,D017,Berengsletta,200
1,rik32119502,45234,D018,Korsdalen,50
1,rik32119502,45235,D019,Madsplass,50
1,rik32119502,45236,D020,Dal,100
1,rik32119502,45237,D021,Klemmestad,100
1,rik32119502,45238,D022,Styggdal,100
1,rik32119502,45239,D023,R?sholmstranda,315
1,rik32119502,45240,D024,R?sholm,100
1,rik32119502,45241,D025,Odden,50
1,rik32119502,45242,D026,Gomsrud 2,100
1,rik32119502,45243,D027,Gomsrud 1,100
1,rik32119502,45244,D028,M?lingen,100
1,rik32119502,45245,D030,Tajet,50
1,rik32119502,45246,D033,Ask,100
1,rik32119502,45247,D035,Bj?rkenga,100
1,rik32119502,45248,D036,Bjerke bru,200
1,rik32119502,45249,D037,Lerberg 2,100
1,rik32119502,45250,D038,Hoen,100
1,rik32119502,45251,D039,Stranden skole 1,200
1,rik32119502,45252,D040,Stranden skole 2,315
1,rik32119502,45253,D042,Sollys,200
1,rik32119502,45254,D044,Muggerud,200
1,rik32119502,45255,D045,Egge,100
1,rik32119502,45256,D048,Langerud,200
1,rik32119502,45257,D049,Ekornrud,100
1,rik32119502,45258,D051,Breien,100
1,rik32119502,45259,D052,Breien 2,50
1,rik32119502,45260,D053,Breien vanning,100
1,rik32119502,45261,D054,Veholt,50
1,rik32119502,45262,D055,Veholtvika,100
1,rik32119502,45263,D057,Klav?sen,50
1,rik32119502,45264,D058,Flaten 2,100
1,rik32119502,45265,D059,Langerud koblingsanlegg,0
1,rik32119502,45266,D060,Søndre Sørum koblingsanlegg,0
1,rik32119502,45267,E001,Maurrud,100
1,rik32119502,45268,E002,Klav?ssvingen,200
1,rik32119502,45269,E003,Fegri 1,200
1,rik32119502,45270,E004,Fegri 2,200
1,rik32119502,45271,E005,Kloakkrenseanlegg,200
1,rik32119502,45272,E006,St?a,200
1,rik32119502,45273,E007,Tangen,100
1,rik32119502,45274,E009,Slottsbakken,100
1,rik32119502,45275,E010,Ringerike M?bel,800
1,rik32119502,45276,E011,St?aveien,200
1,rik32119502,45277,E012,Coop Tyristrand,500
1,rik32119502,45278,E013,B?hn-Myhres vanning,100
1,rik32119502,45279,E014,Kind,200
1,rik32119502,45280,E015,Maltekleiva,200
1,rik32119502,45281,E017,Tyristrand Skole,300
1,rik32119502,45282,E018,Kinds?sen 1,315
1,rik32119502,45283,E019,Solberg?sen 1,200
1,rik32119502,45284,E020,Tjernsli,200
1,rik32119502,45285,E021,Myhre,100
1,rik32119502,45286,E022,Solbergtajet,100
1,rik32119502,45287,E023,Pj?ka,100
1,rik32119502,45288,E024,Br?ten 2,100
1,rik32119502,45289,E025,Heieren,50
1,rik32119502,45290,E026,Kinds?sen 2,315
1,rik32119502,45291,E027,Br?ten 1,100
1,rik32119502,45292,E028,V?leren H?vleri,315
1,rik32119502,45293,E029,Kinds?sfaret,315
1,rik32119502,45294,E030,Kauserud,100
1,rik32119502,45295,E031,Br?ten bru,100
1,rik32119502,45296,E033,Nettop,200
1,rik32119502,45297,E034,Pj?kerud,100
1,rik32119502,45298,E036,V?leren,100
1,rik32119502,45299,E037,Kinds?sveien,200
1,rik32119502,45300,E038,Hovind,100
1,rik32119502,45301,E039,Hagen,50
1,rik32119502,45302,E040,Haga bru,200
1,rik32119502,45303,E041,Skjærdalen elektrokjele,0
1,rik32119502,45304,E042,Hollerud,200
1,rik32119502,45305,E043,Ringerike Kretsfengsel,1250
1,rik32119502,45306,E045,Solli,50
1,rik32119502,45307,E046,Ringerike kretsfengsel 2,1000
1,rik32119502,45308,E048,Haug1,50
1,rik32119502,45309,E049,Tyristrand Vanning V?leren,50
1,rik32119502,45310,E051,Haug 2,200
1,rik32119502,45311,E052,Lauvli,50
1,rik32119502,45312,E053,Haug 3,100
1,rik32119502,45313,E054,Nakkerud 2,100
1,rik32119502,45314,E057,Nakkerud 1,200
1,rik32119502,45315,E058,Norderud 1,200
1,rik32119502,45316,E059,Perhagan,300
1,rik32119502,45317,E060,Bure,50
1,rik32119502,45318,E061,Bureveien,100
1,rik32119502,45319,E062,Nakkerudgata,200
1,rik32119502,45320,E063,Parken,100
